## manually taken from https://www.pharmvar.org/genes
## Allele and FunctionChange: PharmVar, Version 4.1.4 Last Updated Feb 14 2020
## Metabolizes: https://www.pharmgkb.org, Clinical Annotations on Gene, all evidence levels
#Allele	Function	Molecule
CYP2A13*7.001	CYP2A13	no function	nicotine
CYP2D6*60	CYP2D6	no function	paroxetine, dextromethorphan, aripiprazole, haloperidol, levomepromazine, quetiapine, risperidone, n-desmethyltamoxifen, nevirapine, ondansetron, bufuralol, methadone, debrisoquine, venlafaxine, methylphenidate, metoprolol, olanzapine, sparteine, citalopram, escitalopram, imipramine, tamoxifen, mianserin, timolol, donepezil, nortriptyline, vortioxetine, hydrocodone, tropisetron, maprotiline, opipramol, tolterodine, fluvoxamine, oxycodone, pimozide, aspirin, thioridazine, antipsychotics, codeine, amitriptyline, antidepressants, clomipramine, desipramine, doxepin, trimipramine, zuclopenthixol, fluoxetine, sertraline, berberine, coptisine, flecainide, propafenone, galantamine, atomoxetine, carvedilol, mirtazapine, dolasetron, granisetron, lovastatin, iloperidone, tramadol, tolperisone, propranolol, dapoxetine, gefitinib
CYP2D6*62	CYP2D6	no function	paroxetine, dextromethorphan, aripiprazole, haloperidol, levomepromazine, quetiapine, risperidone, n-desmethyltamoxifen, nevirapine, ondansetron, bufuralol, methadone, debrisoquine, venlafaxine, methylphenidate, metoprolol, olanzapine, sparteine, citalopram, escitalopram, imipramine, tamoxifen, mianserin, timolol, donepezil, nortriptyline, vortioxetine, hydrocodone, tropisetron, maprotiline, opipramol, tolterodine, fluvoxamine, oxycodone, pimozide, aspirin, thioridazine, antipsychotics, codeine, amitriptyline, antidepressants, clomipramine, desipramine, doxepin, trimipramine, zuclopenthixol, fluoxetine, sertraline, berberine, coptisine, flecainide, propafenone, galantamine, atomoxetine, carvedilol, mirtazapine, dolasetron, granisetron, lovastatin, iloperidone, tramadol, tolperisone, propranolol, dapoxetine, gefitinib
CYP2D6*68	CYP2D6	no function	paroxetine, dextromethorphan, aripiprazole, haloperidol, levomepromazine, quetiapine, risperidone, n-desmethyltamoxifen, nevirapine, ondansetron, bufuralol, methadone, debrisoquine, venlafaxine, methylphenidate, metoprolol, olanzapine, sparteine, citalopram, escitalopram, imipramine, tamoxifen, mianserin, timolol, donepezil, nortriptyline, vortioxetine, hydrocodone, tropisetron, maprotiline, opipramol, tolterodine, fluvoxamine, oxycodone, pimozide, aspirin, thioridazine, antipsychotics, codeine, amitriptyline, antidepressants, clomipramine, desipramine, doxepin, trimipramine, zuclopenthixol, fluoxetine, sertraline, berberine, coptisine, flecainide, propafenone, galantamine, atomoxetine, carvedilol, mirtazapine, dolasetron, granisetron, lovastatin, iloperidone, tramadol, tolperisone, propranolol, dapoxetine, gefitinib
CYP2D6*69	CYP2D6	no function	paroxetine, dextromethorphan, aripiprazole, haloperidol, levomepromazine, quetiapine, risperidone, n-desmethyltamoxifen, nevirapine, ondansetron, bufuralol, methadone, debrisoquine, venlafaxine, methylphenidate, metoprolol, olanzapine, sparteine, citalopram, escitalopram, imipramine, tamoxifen, mianserin, timolol, donepezil, nortriptyline, vortioxetine, hydrocodone, tropisetron, maprotiline, opipramol, tolterodine, fluvoxamine, oxycodone, pimozide, aspirin, thioridazine, antipsychotics, codeine, amitriptyline, antidepressants, clomipramine, desipramine, doxepin, trimipramine, zuclopenthixol, fluoxetine, sertraline, berberine, coptisine, flecainide, propafenone, galantamine, atomoxetine, carvedilol, mirtazapine, dolasetron, granisetron, lovastatin, iloperidone, tramadol, tolperisone, propranolol, dapoxetine, gefitinib
CYP2D6*72	CYP2D6	decreased function	paroxetine, dextromethorphan, aripiprazole, haloperidol, levomepromazine, quetiapine, risperidone, n-desmethyltamoxifen, nevirapine, ondansetron, bufuralol, methadone, debrisoquine, venlafaxine, methylphenidate, metoprolol, olanzapine, sparteine, citalopram, escitalopram, imipramine, tamoxifen, mianserin, timolol, donepezil, nortriptyline, vortioxetine, hydrocodone, tropisetron, maprotiline, opipramol, tolterodine, fluvoxamine, oxycodone, pimozide, aspirin, thioridazine, antipsychotics, codeine, amitriptyline, antidepressants, clomipramine, desipramine, doxepin, trimipramine, zuclopenthixol, fluoxetine, sertraline, berberine, coptisine, flecainide, propafenone, galantamine, atomoxetine, carvedilol, mirtazapine, dolasetron, granisetron, lovastatin, iloperidone, tramadol, tolperisone, propranolol, dapoxetine, gefitinib
CYP2D6*84	CYP2D6	decreased function	paroxetine, dextromethorphan, aripiprazole, haloperidol, levomepromazine, quetiapine, risperidone, n-desmethyltamoxifen, nevirapine, ondansetron, bufuralol, methadone, debrisoquine, venlafaxine, methylphenidate, metoprolol, olanzapine, sparteine, citalopram, escitalopram, imipramine, tamoxifen, mianserin, timolol, donepezil, nortriptyline, vortioxetine, hydrocodone, tropisetron, maprotiline, opipramol, tolterodine, fluvoxamine, oxycodone, pimozide, aspirin, thioridazine, antipsychotics, codeine, amitriptyline, antidepressants, clomipramine, desipramine, doxepin, trimipramine, zuclopenthixol, fluoxetine, sertraline, berberine, coptisine, flecainide, propafenone, galantamine, atomoxetine, carvedilol, mirtazapine, dolasetron, granisetron, lovastatin, iloperidone, tramadol, tolperisone, propranolol, dapoxetine, gefitinib
CYP2D6*92	CYP2D6	no function	paroxetine, dextromethorphan, aripiprazole, haloperidol, levomepromazine, quetiapine, risperidone, n-desmethyltamoxifen, nevirapine, ondansetron, bufuralol, methadone, debrisoquine, venlafaxine, methylphenidate, metoprolol, olanzapine, sparteine, citalopram, escitalopram, imipramine, tamoxifen, mianserin, timolol, donepezil, nortriptyline, vortioxetine, hydrocodone, tropisetron, maprotiline, opipramol, tolterodine, fluvoxamine, oxycodone, pimozide, aspirin, thioridazine, antipsychotics, codeine, amitriptyline, antidepressants, clomipramine, desipramine, doxepin, trimipramine, zuclopenthixol, fluoxetine, sertraline, berberine, coptisine, flecainide, propafenone, galantamine, atomoxetine, carvedilol, mirtazapine, dolasetron, granisetron, lovastatin, iloperidone, tramadol, tolperisone, propranolol, dapoxetine, gefitinib
CYP2D6*96	CYP2D6	no function	paroxetine, dextromethorphan, aripiprazole, haloperidol, levomepromazine, quetiapine, risperidone, n-desmethyltamoxifen, nevirapine, ondansetron, bufuralol, methadone, debrisoquine, venlafaxine, methylphenidate, metoprolol, olanzapine, sparteine, citalopram, escitalopram, imipramine, tamoxifen, mianserin, timolol, donepezil, nortriptyline, vortioxetine, hydrocodone, tropisetron, maprotiline, opipramol, tolterodine, fluvoxamine, oxycodone, pimozide, aspirin, thioridazine, antipsychotics, codeine, amitriptyline, antidepressants, clomipramine, desipramine, doxepin, trimipramine, zuclopenthixol, fluoxetine, sertraline, berberine, coptisine, flecainide, propafenone, galantamine, atomoxetine, carvedilol, mirtazapine, dolasetron, granisetron, lovastatin, iloperidone, tramadol, tolperisone, propranolol, dapoxetine, gefitinib
CYP2D6*99	CYP2D6	no function	paroxetine, dextromethorphan, aripiprazole, haloperidol, levomepromazine, quetiapine, risperidone, n-desmethyltamoxifen, nevirapine, ondansetron, bufuralol, methadone, debrisoquine, venlafaxine, methylphenidate, metoprolol, olanzapine, sparteine, citalopram, escitalopram, imipramine, tamoxifen, mianserin, timolol, donepezil, nortriptyline, vortioxetine, hydrocodone, tropisetron, maprotiline, opipramol, tolterodine, fluvoxamine, oxycodone, pimozide, aspirin, thioridazine, antipsychotics, codeine, amitriptyline, antidepressants, clomipramine, desipramine, doxepin, trimipramine, zuclopenthixol, fluoxetine, sertraline, berberine, coptisine, flecainide, propafenone, galantamine, atomoxetine, carvedilol, mirtazapine, dolasetron, granisetron, lovastatin, iloperidone, tramadol, tolperisone, propranolol, dapoxetine, gefitinib
CYP2D6*100	CYP2D6	no function	paroxetine, dextromethorphan, aripiprazole, haloperidol, levomepromazine, quetiapine, risperidone, n-desmethyltamoxifen, nevirapine, ondansetron, bufuralol, methadone, debrisoquine, venlafaxine, methylphenidate, metoprolol, olanzapine, sparteine, citalopram, escitalopram, imipramine, tamoxifen, mianserin, timolol, donepezil, nortriptyline, vortioxetine, hydrocodone, tropisetron, maprotiline, opipramol, tolterodine, fluvoxamine, oxycodone, pimozide, aspirin, thioridazine, antipsychotics, codeine, amitriptyline, antidepressants, clomipramine, desipramine, doxepin, trimipramine, zuclopenthixol, fluoxetine, sertraline, berberine, coptisine, flecainide, propafenone, galantamine, atomoxetine, carvedilol, mirtazapine, dolasetron, granisetron, lovastatin, iloperidone, tramadol, tolperisone, propranolol, dapoxetine, gefitinib
CYP2D6*101	CYP2D6	no function	paroxetine, dextromethorphan, aripiprazole, haloperidol, levomepromazine, quetiapine, risperidone, n-desmethyltamoxifen, nevirapine, ondansetron, bufuralol, methadone, debrisoquine, venlafaxine, methylphenidate, metoprolol, olanzapine, sparteine, citalopram, escitalopram, imipramine, tamoxifen, mianserin, timolol, donepezil, nortriptyline, vortioxetine, hydrocodone, tropisetron, maprotiline, opipramol, tolterodine, fluvoxamine, oxycodone, pimozide, aspirin, thioridazine, antipsychotics, codeine, amitriptyline, antidepressants, clomipramine, desipramine, doxepin, trimipramine, zuclopenthixol, fluoxetine, sertraline, berberine, coptisine, flecainide, propafenone, galantamine, atomoxetine, carvedilol, mirtazapine, dolasetron, granisetron, lovastatin, iloperidone, tramadol, tolperisone, propranolol, dapoxetine, gefitinib
CYP2D6*114	CYP2D6	no function	paroxetine, dextromethorphan, aripiprazole, haloperidol, levomepromazine, quetiapine, risperidone, n-desmethyltamoxifen, nevirapine, ondansetron, bufuralol, methadone, debrisoquine, venlafaxine, methylphenidate, metoprolol, olanzapine, sparteine, citalopram, escitalopram, imipramine, tamoxifen, mianserin, timolol, donepezil, nortriptyline, vortioxetine, hydrocodone, tropisetron, maprotiline, opipramol, tolterodine, fluvoxamine, oxycodone, pimozide, aspirin, thioridazine, antipsychotics, codeine, amitriptyline, antidepressants, clomipramine, desipramine, doxepin, trimipramine, zuclopenthixol, fluoxetine, sertraline, berberine, coptisine, flecainide, propafenone, galantamine, atomoxetine, carvedilol, mirtazapine, dolasetron, granisetron, lovastatin, iloperidone, tramadol, tolperisone, propranolol, dapoxetine, gefitinib
CYP2F1*2.001	CYP2F1	no function	imatinib
CYP2F1*2.002	CYP2F1	no function	imatinib
CYP3A7*3.001	CYP3A7	no function	tacrolimus
CYP3A43*2.001	CYP3A43	no function	olanzapine, ticagrelor
CYP3A43*2.002	CYP3A43	no function	olanzapine, ticagrelor
NUDT15*2.001	NUDT15	severely decreased function	mercaptopurine, azathioprine
NUDT15*3.001	NUDT15	severely decreased function	mercaptopurine, azathioprine
NUDT15*4.001	NUDT15	severely decreased function	mercaptopurine, azathioprine
NUDT15*5.001	NUDT15	severely decreased function	mercaptopurine, azathioprine
NUDT15*6.001	NUDT15	severely decreased function	mercaptopurine, azathioprine
NUDT15*7.001	NUDT15	severely decreased function	mercaptopurine, azathioprine
NUDT15*8.001	NUDT15	severely decreased function	mercaptopurine, azathioprine
NUDT15*9.001	NUDT15	severely decreased function	mercaptopurine, azathioprine
NUDT15*10.001	NUDT15	no function	mercaptopurine, azathioprine
NUDT15*13.001	NUDT15	no function	mercaptopurine, azathioprine
NUDT15*14.001	NUDT15	no function	mercaptopurine, azathioprine
NUDT15*17.001	NUDT15	no function	mercaptopurine, azathioprine
NUDT15*18.001	NUDT15	no function	mercaptopurine, azathioprine
NUDT15*19.001	NUDT15	no function	mercaptopurine, azathioprine
